Preparation of Training Data time: 27.600 seconds
TRAINING: | Iteration [1/12] | Loss 0.59 | Norm 5.000
TRAINING: | Iteration [2/12] | Loss 10.92 | Norm 5.000
TRAINING: | Iteration [3/12] | Loss 4.38 | Norm 5.000
TRAINING: | Iteration [4/12] | Loss 6.62 | Norm 5.000
TRAINING: | Iteration [5/12] | Loss 3.68 | Norm 5.000
TRAINING: | Iteration [6/12] | Loss 2.17 | Norm 5.000
TRAINING: | Iteration [7/12] | Loss 1.27 | Norm 5.000
TRAINING: | Iteration [8/12] | Loss 1.11 | Norm 5.000
TRAINING: | Iteration [9/12] | Loss 1.04 | Norm 5.000
TRAINING: | Iteration [10/12] | Loss 1.04 | Norm 5.000
TRAINING: | Iteration [11/12] | Loss 0.76 | Norm 5.000
TRAINING: | Iteration [12/12] | Loss 0.76 | Norm 5.000
Epoch: 1/10000 | Epoch Time: 0.110 seconds
TRAINING: | Iteration [1/12] | Loss 0.84 | Norm 4.842
TRAINING: | Iteration [2/12] | Loss 0.71 | Norm 4.975
TRAINING: | Iteration [3/12] | Loss 0.67 | Norm 5.000
TRAINING: | Iteration [4/12] | Loss 0.78 | Norm 3.658
TRAINING: | Iteration [5/12] | Loss 0.66 | Norm 3.399
TRAINING: | Iteration [6/12] | Loss 0.55 | Norm 4.213
TRAINING: | Iteration [7/12] | Loss 0.56 | Norm 2.621
TRAINING: | Iteration [8/12] | Loss 0.53 | Norm 3.127
TRAINING: | Iteration [9/12] | Loss 0.56 | Norm 4.296
TRAINING: | Iteration [10/12] | Loss 0.64 | Norm 2.908
TRAINING: | Iteration [11/12] | Loss 0.57 | Norm 2.075
TRAINING: | Iteration [12/12] | Loss 0.46 | Norm 3.252
Epoch: 2/10000 | Epoch Time: 0.097 seconds
TRAINING: | Iteration [1/12] | Loss 0.53 | Norm 2.734
TRAINING: | Iteration [2/12] | Loss 0.51 | Norm 4.686
TRAINING: | Iteration [3/12] | Loss 0.57 | Norm 4.295
TRAINING: | Iteration [4/12] | Loss 0.51 | Norm 3.550
TRAINING: | Iteration [5/12] | Loss 0.46 | Norm 4.865
TRAINING: | Iteration [6/12] | Loss 0.47 | Norm 3.318
TRAINING: | Iteration [7/12] | Loss 0.41 | Norm 4.467
TRAINING: | Iteration [8/12] | Loss 0.49 | Norm 4.105
TRAINING: | Iteration [9/12] | Loss 0.42 | Norm 3.610
TRAINING: | Iteration [10/12] | Loss 0.29 | Norm 1.681
TRAINING: | Iteration [11/12] | Loss 0.38 | Norm 2.605
TRAINING: | Iteration [12/12] | Loss 0.35 | Norm 3.155
Epoch: 3/10000 | Epoch Time: 0.097 seconds
TRAINING: | Iteration [1/12] | Loss 0.41 | Norm 2.688
TRAINING: | Iteration [2/12] | Loss 0.40 | Norm 3.502
TRAINING: | Iteration [3/12] | Loss 0.38 | Norm 5.000
TRAINING: | Iteration [4/12] | Loss 0.36 | Norm 3.401
TRAINING: | Iteration [5/12] | Loss 0.36 | Norm 2.232
TRAINING: | Iteration [6/12] | Loss 0.34 | Norm 3.252
TRAINING: | Iteration [7/12] | Loss 0.31 | Norm 2.736
TRAINING: | Iteration [8/12] | Loss 0.35 | Norm 3.687
TRAINING: | Iteration [9/12] | Loss 0.32 | Norm 2.322
TRAINING: | Iteration [10/12] | Loss 0.30 | Norm 1.992
TRAINING: | Iteration [11/12] | Loss 0.32 | Norm 1.984
TRAINING: | Iteration [12/12] | Loss 0.31 | Norm 5.000
Epoch: 4/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.30 | Norm 2.787
TRAINING: | Iteration [2/12] | Loss 0.24 | Norm 2.052
TRAINING: | Iteration [3/12] | Loss 0.31 | Norm 2.985
TRAINING: | Iteration [4/12] | Loss 0.27 | Norm 1.741
TRAINING: | Iteration [5/12] | Loss 0.32 | Norm 4.633
TRAINING: | Iteration [6/12] | Loss 0.20 | Norm 2.657
TRAINING: | Iteration [7/12] | Loss 0.28 | Norm 3.706
TRAINING: | Iteration [8/12] | Loss 0.27 | Norm 2.533
TRAINING: | Iteration [9/12] | Loss 0.23 | Norm 4.876
TRAINING: | Iteration [10/12] | Loss 0.23 | Norm 1.759
TRAINING: | Iteration [11/12] | Loss 0.20 | Norm 1.776
TRAINING: | Iteration [12/12] | Loss 0.21 | Norm 2.492
Epoch: 5/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.24 | Norm 1.781
TRAINING: | Iteration [2/12] | Loss 0.24 | Norm 2.114
TRAINING: | Iteration [3/12] | Loss 0.21 | Norm 1.229
