Epoch,Scramble Depth,Time,isSolved,Move Count,Nodes Generated,Search Iterations
900,5,0.011195659637451172,True,1,10,3
900,8,0.11308765411376953,True,6,433,8
900,11,0.11691904067993164,True,7,465,9
900,15,0.11420464515686035,True,5,295,7
900,18,0.16800713539123535,True,8,647,10
900,21,0.2044694423675537,True,9,826,11
900,25,0.306962251663208,True,11,1029,13
900,28,0.21882915496826172,True,10,863,12
900,31,0.20102143287658691,True,9,810,11
900,35,0.47139477729797363,True,17,1884,19
900,38,0.31750941276550293,True,12,1227,14
900,41,0.48546576499938965,True,15,1583,17
900,45,0.667771577835083,True,21,2245,23
900,48,0.906447172164917,True,16,1678,18
900,51,0.8328628540039062,True,15,1601,17
900,55,0.560380220413208,True,11,1057,13
900,58,1.1748754978179932,True,20,2271,22
900,61,0.6944835186004639,True,21,2375,23
900,65,0.7486143112182617,True,21,2359,23
900,68,1.0278444290161133,True,26,2973,28
900,71,0.9365921020507812,True,27,3120,29
900,75,1.3550543785095215,True,35,4375,37
900,78,0.6521875858306885,True,18,1985,20
900,81,0.43567895889282227,True,17,1801,19
900,85,1.182168960571289,True,29,3516,31
900,88,1.0201339721679688,True,26,2964,28
900,91,1.5591611862182617,True,37,4552,39
900,95,0.9951469898223877,True,29,3472,31
900,98,0.7081186771392822,True,24,2809,26
900,101,0.9279873371124268,True,29,3460,31
900,105,1.1378417015075684,True,35,4281,37
900,108,0.8639404773712158,True,28,3308,30
900,111,1.1817512512207031,True,37,4409,39
900,115,1.205432653427124,True,37,4615,39
900,118,1.1829593181610107,True,36,4307,38
900,121,1.0095560550689697,True,33,3995,35
900,125,1.0372917652130127,True,33,4041,35
900,128,1.2121145725250244,True,38,4684,40
900,131,1.1795878410339355,True,35,4252,37
900,135,1.196894884109497,True,37,4691,39
900,138,1.1801397800445557,True,36,4450,38
900,141,1.2318167686462402,True,37,4570,39
900,145,1.2063102722167969,True,33,4089,35
900,148,1.7298977375030518,True,38,5722,47
900,151,1.8518040180206299,True,39,6555,53
900,155,1.9316840171813965,True,51,6535,53
900,158,1.1213016510009766,True,32,3990,34
900,161,1.370030403137207,True,41,5159,43
900,165,1.198627233505249,True,37,4540,39
900,168,0.8220577239990234,True,26,3021,28
900,171,1.2862911224365234,True,39,4973,41
900,174,0.7126777172088623,True,24,2772,26
900,178,0.8759562969207764,True,28,3425,30
900,181,1.467982292175293,True,45,5686,47
900,184,0.9547898769378662,True,30,3646,32
900,188,1.4849739074707031,True,46,5678,48
900,191,1.7059321403503418,True,45,6639,54
900,194,1.331183671951294,True,40,4975,42
900,198,1.281003713607788,True,40,4829,42
900,201,1.443674087524414,True,43,5517,45
900,204,1.4446501731872559,True,44,5680,46
900,208,1.3185739517211914,True,40,5016,42
900,211,1.4808378219604492,True,41,5086,43
900,214,1.215498447418213,True,38,4647,40
900,218,1.5534539222717285,True,46,5895,48
900,221,1.1365370750427246,True,35,4399,37
900,224,1.3786242008209229,True,42,5414,44
900,228,2.5204672813415527,True,50,9572,74
900,231,1.8156116008758545,True,53,6742,55
900,234,2.4694952964782715,True,42,9579,76
900,238,1.4828240871429443,True,42,5298,44
900,241,1.3647925853729248,True,41,5201,43
900,244,1.2357025146484375,True,38,4740,40
900,248,1.4411697387695312,True,42,5176,44
900,251,1.4311549663543701,True,43,5447,45
900,254,1.1297638416290283,True,34,4182,36
900,258,1.7707455158233643,True,52,6741,54
900,261,2.2250962257385254,True,53,6937,55
900,264,1.4522006511688232,True,42,5265,44
900,268,1.5774352550506592,True,36,4504,38
900,271,1.5351800918579102,True,45,5772,47
900,274,1.0343012809753418,True,32,3894,34
900,278,1.4865655899047852,True,42,5361,44
900,281,1.4932546615600586,True,43,5445,45
900,284,1.8080525398254395,True,48,6095,50
900,288,1.2236993312835693,True,36,4440,38
900,291,1.6986052989959717,True,47,5926,49
900,294,1.8743693828582764,True,50,6668,53
900,298,1.5472898483276367,True,46,5794,48
900,301,1.8064541816711426,True,45,5772,47
900,304,1.9046409130096436,True,42,5308,44
900,308,1.8709743022918701,True,50,6495,52
900,311,3.4606099128723145,True,51,13232,103
900,314,1.531428575515747,True,48,5989,50
900,318,1.745861291885376,True,52,6742,54
900,321,1.1931884288787842,True,37,4468,39
900,324,1.3798432350158691,True,42,5329,44
900,328,1.6521837711334229,True,50,6295,52
900,331,1.383772850036621,True,41,5223,43
900,334,6.252114772796631,True,60,22927,170
900,337,1.46699857711792,True,45,5707,47
900,341,3.922875165939331,True,51,15025,114
900,344,1.7241287231445312,True,52,6822,54
900,347,6.6246559619903564,True,41,24337,189
900,351,1.6140878200531006,True,49,6243,51
900,354,1.1626677513122559,True,32,3877,34
900,357,1.7569289207458496,True,51,6651,53
900,361,1.6672616004943848,True,49,6272,51
900,364,1.452847957611084,True,42,5301,44
900,367,1.5429482460021973,True,47,5991,49
900,371,1.9248383045196533,True,49,7505,59
900,374,6.35275673866272,True,52,23411,177
900,377,2.851759910583496,True,55,8926,70
900,381,1.7996337413787842,True,53,6858,55
900,384,2.16296648979187,True,56,8057,63
900,387,2.9552817344665527,True,53,10169,80
900,391,1.5994443893432617,True,45,5623,47
900,394,2.038459062576294,True,54,7412,60
900,397,3.2925095558166504,True,57,10440,80
900,401,1.867379903793335,True,49,6410,51
900,404,1.7632510662078857,True,52,6777,54
900,407,1.8290255069732666,True,45,5696,47
900,411,2.6559605598449707,True,49,9215,72
900,414,1.777496576309204,True,52,6772,54
900,417,1.8584179878234863,True,53,6976,55
900,421,3.421760320663452,True,57,12497,98
900,424,1.4435145854949951,True,44,5530,46
900,427,1.3074226379394531,True,39,4872,41
900,431,3.0928616523742676,True,55,11830,90
900,434,1.5071942806243896,True,44,5712,46
900,437,1.33107328414917,True,41,5215,43
900,441,2.000048875808716,True,49,6406,51
900,444,1.5624125003814697,True,46,6093,48
900,447,6.1198437213897705,True,53,23063,178
900,451,1.174945592880249,True,37,4598,39
900,454,1.7350034713745117,True,52,6660,54
900,457,2.8414876461029053,True,47,10669,83
900,461,1.7822608947753906,True,45,5863,47
900,464,1.64967679977417,True,46,5777,48
900,467,1.45692777633667,True,43,5544,45
900,471,1.724067211151123,True,51,6606,53
900,474,1.9337952136993408,True,56,7154,58
900,477,1.4995439052581787,True,45,5737,47
900,481,6.933216094970703,True,55,20101,154
900,484,2.0742011070251465,True,52,7639,62
900,487,2.310084342956543,True,57,7462,59
900,491,1.7129976749420166,True,51,6655,53
900,494,4.69419002532959,True,50,17612,135
900,497,1.9469075202941895,True,57,7308,59
900,501,1.9793941974639893,True,55,7468,60
900,504,2.565311908721924,True,54,7000,56
900,507,31.519784927368164,False,,106389,801
900,510,1.4296722412109375,True,44,5481,46
900,514,13.15596318244934,True,58,42518,323
900,517,1.787468671798706,True,53,6674,55
900,520,1.857837200164795,True,54,7027,56
900,524,1.9253063201904297,True,52,7177,59
900,527,1.753364086151123,True,51,6561,53
900,530,2.0155043601989746,True,50,6968,56
900,534,2.938899517059326,True,60,10608,82
900,537,1.9438180923461914,True,49,6264,51
900,540,2.0133564472198486,True,54,6961,56
900,544,1.7465717792510986,True,50,6538,52
900,547,4.073040723800659,True,55,13734,107
900,550,7.7962119579315186,True,54,28286,214
900,554,31.62579870223999,False,,105355,801
900,557,1.3191664218902588,True,41,5085,43
900,560,1.6486828327178955,True,50,6285,52
900,564,2.4353392124176025,True,46,9171,74
900,567,1.6913528442382812,True,49,6213,51
900,570,1.3688132762908936,True,42,5259,44
900,574,1.569502592086792,True,46,6052,49
900,577,4.476919651031494,True,57,16063,123
900,580,3.214855909347534,True,50,11361,90
900,584,4.707270622253418,True,52,16854,129
900,587,1.8527586460113525,True,53,6880,55
900,590,1.7939813137054443,True,50,6459,52
900,594,1.4568274021148682,True,44,5452,46
900,597,3.689269542694092,True,55,13575,104
900,600,1.6547698974609375,True,50,6429,52
900,604,5.376535892486572,True,56,19922,153
900,607,1.7960340976715088,True,49,6116,51
900,610,3.0953524112701416,True,50,11687,92
900,614,2.115922212600708,True,50,8067,64
900,617,1.6431331634521484,True,49,6147,51
900,620,10.970727443695068,True,56,36113,271
900,624,2.2677040100097656,True,58,8354,65
900,627,7.407999515533447,True,63,26489,201
900,630,4.193633556365967,True,50,15658,118
900,634,1.8390603065490723,True,54,7058,56
900,637,2.3665831089019775,True,55,8277,65
900,640,2.1302356719970703,True,48,6177,50
900,644,1.7110505104064941,True,48,6175,50
900,647,7.957526922225952,True,63,28429,215
900,650,7.7928760051727295,True,58,27991,214
900,654,1.9684429168701172,True,52,6757,55
900,657,16.64107608795166,True,57,52276,391
900,660,2.007382392883301,True,50,7386,60
900,664,1.742192029953003,True,48,5956,50
900,667,1.9193222522735596,True,53,6915,55
900,670,6.113907814025879,True,56,18674,145
900,673,1.4961557388305664,True,45,5708,47
900,677,1.8315918445587158,True,55,7119,57
900,680,1.89664626121521,True,50,6491,52
900,683,29.785686254501343,True,61,89361,664
900,687,35.01893162727356,False,,108564,801
900,690,1.6926040649414062,True,48,6116,50
900,693,1.53352952003479,True,41,5125,43
900,697,20.259086847305298,True,63,71833,539
900,700,5.645175933837891,True,56,21093,161
900,703,1.9086816310882568,True,51,7262,59
900,707,2.7821412086486816,True,55,10950,84
900,710,1.7131109237670898,True,50,6586,52
900,713,1.7275590896606445,True,51,6776,54
900,717,1.9066643714904785,True,57,7614,59
900,720,9.765642642974854,True,60,36042,273
900,723,3.7981176376342773,True,61,14681,112
900,727,2.0111942291259766,True,55,7739,61
900,730,31.93738102912903,True,60,100537,754
900,733,1.7370378971099854,True,51,6513,53
900,737,1.8231091499328613,True,51,6980,56
900,740,6.832946300506592,True,62,24963,185
900,743,1.5657157897949219,True,47,6050,49
900,747,1.8894257545471191,True,53,7319,59
900,750,1.8281071186065674,True,50,6447,52
900,753,1.7002971172332764,True,51,6485,53
900,757,1.4152579307556152,True,43,5545,45
900,760,4.063393831253052,True,54,15338,117
900,763,1.6446797847747803,True,49,6326,51
900,767,1.7340271472930908,True,51,6638,53
900,770,6.181234836578369,True,54,22946,173
900,773,1.75411057472229,True,53,6809,55
900,777,18.520914554595947,True,65,67726,506
900,780,2.938974618911743,True,52,11258,88
900,783,1.7572987079620361,True,53,6949,55
900,787,2.5088443756103516,True,49,6187,51
900,790,2.0738446712493896,True,52,6799,54
900,793,2.5446550846099854,True,57,9751,77
900,797,20.302751541137695,True,63,73113,545
900,800,1.4257581233978271,True,42,5297,44
900,803,7.919583797454834,True,57,29240,219
900,807,1.9673986434936523,True,57,7492,59
900,810,1.6922788619995117,True,48,6177,50
900,813,2.532508611679077,True,53,9313,74
900,817,1.735241174697876,True,51,6576,53
900,820,1.6715998649597168,True,48,5986,50
900,823,15.264660835266113,True,59,52668,402
900,827,5.940088272094727,True,57,20798,157
900,830,5.010746240615845,True,56,18394,138
900,833,1.8330152034759521,True,53,6897,55
900,836,1.885648250579834,True,52,6882,56
900,840,1.531393051147461,True,46,5835,48
900,843,1.555044412612915,True,45,5698,47
900,846,3.8741695880889893,True,56,14473,110
900,850,11.907938480377197,True,60,39630,301
900,853,8.617599964141846,True,61,31413,236
900,856,30.808616638183594,False,,105923,801
900,860,1.1479039192199707,True,36,4359,38
900,863,8.58195424079895,True,59,31327,239
900,866,4.845692157745361,True,62,18182,140
900,870,2.5499277114868164,True,54,9506,75
900,873,2.669177770614624,True,57,10234,80
900,876,1.4765739440917969,True,44,5576,46
900,880,2.1889877319335938,True,60,8267,66
900,883,1.880450963973999,True,57,7279,59
900,886,1.78957200050354,True,52,6685,54
900,890,1.5915493965148926,True,46,6009,48
900,893,1.877295970916748,True,55,7293,58
900,896,30.719884634017944,False,,105299,801
900,900,1.2453889846801758,True,38,4644,40
900,903,2.7277960777282715,True,59,10507,83
900,906,1.7845268249511719,True,54,6941,56
900,910,3.566941499710083,True,52,13358,103
900,913,3.447699546813965,True,55,13214,102
900,916,1.884852647781372,True,54,7280,56
900,920,1.9384982585906982,True,58,7529,60
900,923,2.8765816688537598,True,57,11118,86
900,926,1.2971258163452148,True,40,4972,42
900,930,1.7773196697235107,True,48,6654,53
900,933,2.5075931549072266,True,57,9492,75
900,936,2.2799203395843506,True,50,8438,66
900,940,1.9344918727874756,True,56,7291,58
900,943,6.818467378616333,True,59,21384,162
900,946,2.162640333175659,True,48,6068,50
900,950,3.238637685775757,True,54,12198,95
900,953,12.459784984588623,True,59,44666,335
900,956,6.649348497390747,True,50,24858,191
900,960,2.22566556930542,True,54,8308,65
900,963,1.8072185516357422,True,49,6191,51
900,966,11.526318311691284,True,58,39235,300
900,970,4.794864892959595,True,60,15871,123
900,973,34.75583791732788,False,,106431,801
900,976,11.366268396377563,True,56,38657,298
900,980,8.180999755859375,True,60,25811,194
900,983,1.9598782062530518,True,47,5800,49
900,986,1.6902356147766113,True,46,5839,48
900,990,2.042963743209839,True,54,7131,56
900,993,1.557694911956787,True,47,5945,49
900,996,1.630054235458374,True,48,6174,50
900,1000,1.598952293395996,True,48,6034,50
800,5,0.01081538200378418,True,1,10,3
800,8,0.09807395935058594,True,6,385,8
800,11,0.006625175476074219,True,1,10,3
800,15,0.3074460029602051,True,11,1038,13
800,18,0.09821343421936035,True,6,389,8
800,21,0.33917999267578125,True,13,1300,15
800,25,0.28374242782592773,True,11,1071,13
800,28,0.4466278553009033,True,16,1683,18
800,31,0.17962408065795898,True,9,726,11
800,35,0.6136209964752197,True,15,1581,17
800,38,1.0212011337280273,True,26,2953,28
800,41,0.9683215618133545,True,25,2927,27
800,45,0.15092110633850098,True,7,468,9
800,48,0.28313636779785156,True,10,874,12
800,51,0.7112622261047363,True,19,2102,21
800,55,0.5242996215820312,True,15,1575,17
800,58,0.884451150894165,True,20,2244,22
