,Epoch,Scramble Depth,Time,isSolved,Move Count,Nodes Generated,Search Iterations
0,100,1,0.005477428436279297,True,1,13,3
1,100,2,0.008391618728637695,True,2,42,4
2,100,3,0.01925826072692871,True,3,215,5
3,100,4,0.008359909057617188,True,2,42,4
4,100,5,0.018558025360107422,True,3,215,5
5,100,6,0.028273820877075195,True,4,340,6
6,100,7,0.10873818397521973,True,7,1420,11
7,100,8,0.05286550521850586,True,6,677,8
8,100,9,0.04297447204589844,True,5,537,7
9,100,10,0.09031534194946289,True,6,706,8
10,100,11,0.005137920379638672,True,1,13,3
11,100,12,0.05348062515258789,True,6,697,8
12,100,13,0.01910853385925293,True,3,215,5
13,100,14,17.187545776367188,False,,173162,801
14,100,15,0.04402279853820801,True,5,563,7
15,100,16,0.08950662612915039,True,4,1200,10
16,100,17,0.03823423385620117,True,5,459,7
17,100,18,17.012036085128784,False,,173399,801
18,100,19,0.0475924015045166,True,5,605,7
19,100,20,0.02429795265197754,True,4,271,6
20,100,21,16.843451976776123,False,,169146,801
21,100,22,0.2054128646850586,True,8,2610,17
22,100,23,16.935190200805664,False,,167882,801
23,100,24,0.052987098693847656,True,6,671,8
24,100,25,0.11777877807617188,True,7,1517,12
25,100,26,16.733410358428955,False,,165749,801
26,100,27,16.830050468444824,False,,168960,801
27,100,28,16.92668914794922,False,,168401,801
28,100,29,16.646225452423096,False,,166637,801
29,100,30,0.09047222137451172,True,4,1200,10
30,100,31,16.981221199035645,False,,167294,801
31,100,32,16.896719217300415,False,,165526,801
32,100,33,16.890216588974,False,,165346,801
33,100,34,16.884507656097412,False,,170354,801
34,100,35,0.038374900817871094,True,5,459,7
35,100,36,0.353121280670166,True,8,4496,26
36,100,37,17.217401027679443,False,,168773,801
37,100,38,2.3008127212524414,True,8,26623,135
38,100,39,16.965718030929565,False,,165675,801
39,100,40,16.779639720916748,False,,164854,801
40,100,41,16.896692037582397,False,,161614,801
41,100,42,17.069543600082397,False,,168217,801
42,100,43,9.605978727340698,True,9,102512,483
43,100,44,16.93283987045288,False,,167120,801
44,100,45,16.968978881835938,False,,169891,801
45,100,46,16.79059863090515,False,,161180,801
46,100,47,16.845470666885376,False,,171530,801
47,100,48,17.186089038848877,False,,171731,801
48,100,49,17.071238040924072,False,,167038,801
49,100,50,16.829261541366577,False,,166469,801
50,100,51,16.891055583953857,False,,161260,801
51,100,52,16.892744064331055,False,,167903,801
52,100,53,16.962996006011963,False,,165557,801
0,200,1,0.005357503890991211,True,1,13,3
1,200,2,0.009598731994628906,True,2,65,4
2,200,3,0.005279064178466797,True,1,13,3
3,200,4,0.008573055267333984,True,2,42,4
4,200,5,0.018865108489990234,True,3,215,5
5,200,6,0.008713006973266602,True,2,42,4
6,200,7,0.01868605613708496,True,3,215,5
7,200,8,0.0025413036346435547,True,0,3,2
8,200,9,0.0050029754638671875,True,1,13,3
9,200,10,1.1262412071228027,True,8,13650,70
10,200,11,0.01504826545715332,True,3,135,5
11,200,12,0.13747811317443848,True,8,1819,13
12,200,13,0.048187255859375,True,5,642,7
13,200,14,0.058568716049194336,True,6,763,8
14,200,15,16.842175483703613,False,,162543,801
15,200,16,0.9594664573669434,True,10,11431,59
16,200,17,0.084259033203125,True,7,1000,9
17,200,18,0.008528709411621094,True,2,42,4
18,200,19,0.06801009178161621,True,7,899,9
19,200,20,10.493613719940186,True,10,107847,516
20,200,21,17.02725386619568,False,,169819,801
21,200,22,0.13603782653808594,True,8,1805,13
22,200,23,16.577524185180664,False,,164381,801
23,200,24,16.835840940475464,False,,165057,801
24,200,25,0.04335522651672363,True,5,535,7
25,200,26,10.365554571151733,True,8,109130,503
26,200,27,0.10051226615905762,True,7,1251,10
27,200,28,17.109245777130127,False,,167166,801
28,200,29,4.952162981033325,True,11,54575,263
29,200,30,0.2267293930053711,True,8,2917,19
30,200,31,17.349186182022095,False,,170689,801
31,200,32,17.255711793899536,False,,176938,801
32,200,33,16.83932614326477,False,,167520,801
33,200,34,0.08693981170654297,True,8,1142,10
34,200,35,17.071645736694336,False,,166218,801
35,200,36,0.043741703033447266,True,4,409,6
36,200,37,0.7246928215026855,True,9,9145,47
37,200,38,16.873667240142822,False,,164347,801
38,200,39,17.087289810180664,False,,166562,801
39,200,40,15.458028316497803,True,12,152589,744
40,200,41,0.8077805042266846,True,9,9414,50
41,200,42,0.062195777893066406,True,6,826,8
42,200,43,16.9439754486084,False,,162760,801
43,200,44,16.99841570854187,False,,167682,801
44,200,45,10.377132177352905,True,11,106390,514
45,200,46,16.876141786575317,False,,162757,801
46,200,47,0.07368206977844238,True,7,950,9
47,200,48,16.98905324935913,False,,166999,801
48,200,49,17.46521282196045,False,,171875,801
49,200,50,16.555467128753662,False,,162574,801
50,200,51,16.788779973983765,False,,168150,801
51,200,52,17.01772904396057,False,,169628,801
52,200,53,16.750377655029297,False,,164355,801
53,200,54,17.1182279586792,False,,169763,801
54,200,55,16.86953830718994,False,,164374,801
55,200,56,16.970075368881226,False,,166994,801
56,200,57,16.594261646270752,False,,166431,801
0,300,1,0.00543665885925293,True,1,13,3
1,300,2,0.002496004104614258,True,0,3,2
2,300,3,0.019111156463623047,True,3,215,5
3,300,4,0.009559154510498047,True,2,65,4
4,300,5,0.01901984214782715,True,3,215,5
5,300,6,0.0288848876953125,True,4,345,6
6,300,7,0.019008636474609375,True,3,215,5
7,300,8,0.02379751205444336,True,4,271,6
8,300,9,0.0447390079498291,True,5,590,7
9,300,10,0.09387087821960449,True,8,1234,10
10,300,11,0.04389476776123047,True,5,552,7
11,300,12,0.45557451248168945,True,10,5217,29
12,300,13,0.04411578178405762,True,5,574,7
13,300,14,10.525412321090698,True,12,106410,519
14,300,15,0.0795905590057373,True,7,1046,9
15,300,16,1.1134064197540283,True,10,13239,69
16,300,17,0.0781245231628418,True,7,1050,9
17,300,18,0.08892154693603516,True,8,1150,10
18,300,19,0.01935124397277832,True,3,215,5
19,300,20,0.08437752723693848,True,8,1106,10
20,300,21,17.02459216117859,False,,164499,801
21,300,22,0.16982769966125488,True,10,2196,15
22,300,23,4.770470857620239,True,11,52171,252
23,300,24,0.12634563446044922,True,8,1677,12
24,300,25,17.015650033950806,False,,166525,801
25,300,26,0.09433913230895996,True,8,1268,10
26,300,27,0.23795700073242188,True,9,3028,19
27,300,28,0.061672210693359375,True,6,812,8
28,300,29,16.9993896484375,False,,169309,801
29,300,30,0.2976949214935303,True,10,3766,23
30,300,31,17.110331773757935,False,,167467,801
31,300,32,0.12195396423339844,True,8,1634,12
32,300,33,16.64668869972229,False,,164962,801
33,300,34,0.00860285758972168,True,2,42,4
34,300,35,16.924341201782227,False,,166707,801
35,300,36,17.10355257987976,False,,165855,801
36,300,37,16.7324378490448,False,,166839,801
37,300,38,16.986286401748657,False,,165012,801
38,300,39,5.78163480758667,True,11,62683,304
39,300,40,16.78960943222046,False,,166870,801
40,300,41,16.89779305458069,False,,170610,801
41,300,42,16.820154428482056,False,,165563,801
42,300,43,17.033690452575684,False,,164172,801
43,300,44,16.92607879638672,False,,164862,801
44,300,45,16.79834485054016,False,,166384,801
45,300,46,17.00434446334839,False,,166535,801
46,300,47,16.7077214717865,False,,161774,801
47,300,48,16.85922360420227,False,,164242,801
48,300,49,16.94542145729065,False,,165148,801
0,400,1,0.005216360092163086,True,1,13,3
1,400,2,0.0025131702423095703,True,0,3,2
2,400,3,0.0052144527435302734,True,1,13,3
3,400,4,0.0022895336151123047,True,0,3,2
4,400,5,0.04399704933166504,True,5,565,7
5,400,6,0.008655786514282227,True,2,42,4
6,400,7,0.018798828125,True,3,215,5
7,400,8,0.009469985961914062,True,2,65,4
8,400,9,0.1874833106994629,True,7,2503,16
9,400,10,0.00881338119506836,True,2,42,4
10,400,11,0.047745704650878906,True,5,647,7
