,Epoch,Scramble Depth,Time,isSolved,Move Count,Nodes Generated,Search Iterations
0,100,12,0.11170554161071777,True,6,674,8
1,100,22,0.07779407501220703,True,4,439,6
2,100,32,0.1406245231628418,True,6,784,8
3,100,42,3.492171287536621,False,,20936,101
4,100,52,3.491619348526001,False,,20080,101
5,100,62,0.518885612487793,True,12,2976,19
6,100,72,3.434420108795166,False,,19873,101
7,100,82,3.425812005996704,False,,20003,101
8,100,92,0.5964484214782715,True,12,3916,23
9,100,102,3.4892418384552,False,,19624,101
10,100,112,3.704914093017578,False,,20484,101
11,100,122,3.6655030250549316,False,,20087,101
12,100,132,3.5296695232391357,False,,20480,101
13,100,142,3.528874158859253,False,,20373,101
14,100,152,3.801705837249756,False,,20544,101
15,100,162,3.8645033836364746,False,,20169,101
16,100,172,3.6548428535461426,False,,19958,101
17,100,182,3.7289228439331055,False,,19702,101
18,100,192,3.8204007148742676,False,,19800,101
0,200,12,0.24669528007507324,True,8,1330,10
1,200,22,0.5047316551208496,True,14,2500,16
2,200,32,0.1934831142425537,True,6,820,8
3,200,42,0.747960090637207,True,18,3509,21
4,200,52,0.5022096633911133,True,14,2542,16
5,200,62,0.7602550983428955,True,14,4121,24
6,200,72,0.6024646759033203,True,16,3313,20
7,200,82,4.101224660873413,False,,20224,101
8,200,92,3.794022560119629,False,,20328,101
9,200,102,4.115600824356079,False,,21483,101
10,200,112,4.003006219863892,False,,20340,101
11,200,122,4.027287483215332,False,,20334,101
12,200,132,3.9214870929718018,False,,20365,101
13,200,142,3.995575428009033,False,,20742,101
14,200,152,3.930075168609619,False,,19598,101
15,200,162,3.9491677284240723,False,,20468,101
16,200,172,4.071176528930664,False,,20006,101
0,300,12,0.05635857582092285,True,4,347,6
1,300,22,0.8303682804107666,True,10,4089,26
2,300,32,4.2775938510894775,False,,21749,101
3,300,42,0.44673752784729004,True,14,2528,16
4,300,52,4.472615957260132,False,,22960,101
5,300,62,4.10338020324707,False,,19963,101
6,300,72,4.068763017654419,False,,20138,101
7,300,82,1.1399664878845215,True,22,6028,34
8,300,92,4.083674430847168,False,,20336,101
9,300,102,4.009286642074585,False,,20658,101
10,300,112,3.9506475925445557,False,,20110,101
11,300,122,3.956875801086426,False,,20149,101
12,300,132,3.977786064147949,False,,20456,101
13,300,142,3.933506488800049,False,,20248,101
14,300,152,4.076836109161377,False,,20478,101
15,300,162,4.045668601989746,False,,20560,101
16,300,172,4.011670112609863,False,,19875,101
17,300,182,4.038249731063843,False,,19978,101
0,400,12,0.18209218978881836,True,8,1101,10
1,400,22,0.6014261245727539,True,14,3488,21
2,400,32,0.3919711112976074,True,12,2094,14
3,400,42,0.20844578742980957,True,8,1101,10
4,400,52,0.8477330207824707,True,18,4601,25
5,400,62,0.7720150947570801,True,22,3919,24
6,400,72,0.25830721855163574,True,8,1246,10
7,400,82,4.353659629821777,False,,20724,101
8,400,92,4.314116954803467,False,,18387,101
9,400,102,4.48761510848999,False,,20247,101
10,400,112,4.497655391693115,False,,20036,101
11,400,122,4.0912840366363525,False,,20528,101
12,400,132,3.823240041732788,False,,20271,101
13,400,142,4.0682899951934814,False,,20400,101
14,400,152,4.347958087921143,False,,19564,101
15,400,162,3.9813385009765625,False,,20238,101
16,400,172,4.516090631484985,False,,20475,101
0,500,12,0.0688161849975586,True,4,345,6
1,500,22,0.40143275260925293,True,6,2189,14
2,500,32,0.7938783168792725,True,16,4149,25
3,500,42,0.6587634086608887,True,18,3433,20
4,500,52,4.048442840576172,False,,20353,101
5,500,62,4.003532409667969,False,,20739,101
6,500,72,0.8284680843353271,True,22,4428,25
7,500,82,4.052586317062378,False,,18367,101
8,500,92,0.8043649196624756,True,24,4500,26
9,500,102,0.7430355548858643,True,20,4182,24
10,500,112,3.9498677253723145,False,,20285,101
11,500,122,3.90067982673645,False,,19576,101
12,500,132,4.358713388442993,False,,20450,101
13,500,142,4.155859470367432,False,,20424,101
14,500,152,4.3733625411987305,False,,21285,101
15,500,162,4.122635364532471,False,,20003,101
16,500,172,3.8720626831054688,False,,20075,101
17,500,182,4.10233211517334,False,,19909,101
18,500,192,4.0694050788879395,False,,21015,101
19,500,202,4.221210718154907,False,,20063,101
0,600,12,0.025932788848876953,True,2,65,4
1,600,22,0.6382598876953125,True,14,3625,22
2,600,32,1.287660837173462,True,10,4790,26
3,600,42,1.0504086017608643,True,24,5369,29
4,600,52,1.0342304706573486,True,22,5454,30
5,600,62,1.0578880310058594,True,16,5523,30
6,600,72,4.2170326709747314,False,,20815,101
7,600,82,3.994117259979248,False,,19931,101
8,600,92,4.544175624847412,False,,21391,101
9,600,102,3.999197483062744,False,,21063,101
10,600,112,4.0469372272491455,False,,20430,101
11,600,122,4.138548374176025,False,,20821,101
12,600,132,4.0781567096710205,False,,20244,101
13,600,142,4.501884698867798,False,,20326,101
14,600,152,5.62344217300415,False,,19766,101
15,600,162,5.584517478942871,False,,21445,101
0,700,12,0.020911216735839844,True,2,65,4
1,700,22,0.32111549377441406,True,10,1873,13
2,700,32,0.99167799949646,True,22,4967,28
3,700,42,0.38205456733703613,True,10,1672,12
4,700,52,0.9616763591766357,True,18,4429,26
5,700,62,4.197904109954834,False,,19415,101
6,700,72,1.4926958084106445,True,18,7126,38
7,700,82,4.107895851135254,False,,20385,101
8,700,92,4.1750710010528564,True,32,20201,100
9,700,102,4.31082558631897,False,,20662,101
10,700,112,0.8807210922241211,True,24,4446,26
11,700,122,4.121429920196533,False,,20172,101
12,700,132,4.248960494995117,False,,20300,101
13,700,142,4.1480467319488525,False,,19907,101
14,700,152,4.205681800842285,False,,20055,101
15,700,162,4.263028621673584,False,,20143,101
16,700,172,2.882549524307251,True,34,14397,72
17,700,182,4.264854192733765,False,,20400,101
18,700,192,1.1197309494018555,True,28,5751,32
19,700,202,4.708280086517334,False,,20045,101
0,800,12,0.13667607307434082,True,6,751,8
